GENENAME;MENTRETARD;DEVDELAY
TMEM67;0;1
TMEM70;0;1
TMPRSS6;0;1
TNFRSF13B;0;1
TNPO2;1;0
TP63;0;1
TPI1;1;0
TPO;1;0
TPP1;1;1
TPRN;0;1
TRAPPC11;0;1
TRAPPC2;0;1
TRAPPC9;1;1
TREX1;0;1
TRIM32;0;1
TRIM37;0;1
TRIO;1;1
TRIP11;0;1
TRMT1;1;1
TRPM1;0;1
TRPS1;0;1
TRPV3;0;1
TRPV4;0;1
TSC1;1;1
TSC2;1;1
TSEN2;0;1
TSEN34;0;1
TSEN54;0;1
TSHB;1;0
TSHR;1;1
TSHZ1;0;1
TSPAN7;1;1
TTC19;0;1
TTC37;0;1
TTC7A;0;1
TTC8;0;1
TTF1;1;0
TTF2;1;0
TTI2;1;1
TTN;0;1
TUBA1A;1;1
TUBA8;0;1
TUBB2A;0;1
TUBB2B;0;1
TUBB4A;0;1
TUBGCP6;0;1
TUFM;0;1
TUSC3;1;1
TWIST1;0;1
TWIST2;0;1
TYR;0;1
TYRP1;0;1
UBE2A;1;1
UBE3A;1;1
UBE3B;0;1
UBR1;1;1
UBR7;1;1
UGT1A1;0;1
UMPS;0;1
UPF3B;1;1
UQCRB;0;1
UQCRQ;0;1
UROC1;0;1
UROS;0;1
USP9X;1;1
UVSSA;0;1
VANGL1;0;1
VDR;0;1
VIP;0;1
VIPAS39;0;1
VLDLR;1;1
VPS13B;0;1
VPS33B;0;1
VRK1;1;1
VSX2;0;1
WAC;1;1
WDPCP;0;1
WDR11;0;1
WDR19;0;1
WDR34;0;1
WDR35;0;1
WDR45;0;1
WDR45B;1;1
WDR60;0;1
WDR62;1;1
WDR81;1;0
WNT1;0;1
WNT10B;0;1
WNT3;0;1
WNT4;0;1
WNT5A;0;1
WNT7A;0;1
WRAP53;0;1
WT1;0;1
XPA;1;1
XPC;0;1
XPNPEP3;0;1
XYLT1;0;1
YAP1;1;1
YWHAE;0;1
YY1;1;1
ZBTB16;1;1
ZBTB18;1;0
ZBTB20;0;1
ZBTB40;1;1
ZC4H2;0;1
ZCCHC8;1;1
ZDHHC15;1;1
ZDHHC9;1;1
ZEB1;0;1
ZEB2;1;1
ZFP57;0;1
ZFPM2;0;1
ZFYVE26;0;1
ZIC2;1;1
ZIC3;0;1
ZMPSTE24;0;1
ZMYM6;1;1
ZMYND10;0;1
ZMYND11;1;0
ZNF41;1;0
ZNF526;1;1
ZNF599;0;1
ZNF674;1;0
ZNF711;1;1
ZNF713;0;1
ZNF750;0;1
ZNF81;1;0
ZSWIM6;0;1
