GENENAME;MENTRETARD;DEVDELAY
CTC1;0;1
CTCF;1;1
CTDP1;0;1
CTNNB1;1;1
CTNS;0;1
CTSA;1;1
CTSD;0;1
CTSK;0;1
CUL4B;1;1
CUL7;0;1
CUX2;1;0
CYB5R3;0;1
CYC1;0;1
CYP1B1;0;1
CYP27A1;1;0
CYP2U1;0;1
DAG1;0;1
DARS;0;1
DARS2;0;1
DBT;1;1
DCAF17;0;1
DCHS1;0;1
DCX;1;1
DDB2;0;1
DDC;0;1
DDHD1;0;1
DDHD2;0;1
DDOST;0;1
DDR2;0;1
DDX11;0;1
DDX3X;0;1
DDX59;0;1
DEAF1;1;1
DEPDC5;0;1
DFNA5;0;1
DFNB59;0;1
DGAT1;0;1
DHCR24;0;1
DHCR7;1;1
DHFR;0;1
DHODH;0;1
DHTKD1;0;1
DIA1;1;0
DIP2B;1;1
DIS3L2;0;1
DKC1;1;1
DLAT;0;1
DLD;1;1
DLG3;1;1
DLL3;0;1
DLX5;0;1
DM1;1;0
DMD;1;1
DMP1;0;1
DMPK;0;1
DNA2;0;1
DNAAF3;0;1
DNAAF5;0;1
DNM1;0;1
DNMT3A;0;1
DNMT3B;1;1
DOCK6;0;1
DOCK7;0;1
DOCK8;1;1
DOLK;0;1
DPAGT1;1;1
DPM1;1;1
DPM3;0;1
DPP6;1;0
DPYD;1;0
DPYS;1;0
DRC1;0;1
DSG1;0;1
DSPP;0;1
DSTYK;0;1
DUOX2;1;0
DYM;0;1
DYNC1H1;1;1
DYNC2H1;0;1
DYRK1A;1;1
DYX1C1;0;1
EBP;0;1
ECEL1;0;1
EDA;0;1
EDN1;0;1
EDNRB;0;1
EEF1A2;1;1
EEF1B2;1;1
EFHC2;1;0
EFNB1;0;1
EFTUD2;0;1
EHMT1;1;1
EIF2AK3;1;1
EIF4A3;0;1
ELAC2;0;1
ELN;0;1
ELOVL4;1;1
ELP2;1;1
EMX2;1;1
ENPP1;0;1
ENTPD1;1;1
EOGT;0;1
EOMES;0;1
EP300;1;1
EPG5;0;1
ERBB3;0;1
ERCC1;0;1
ERCC2;1;1
ERCC3;1;1
ERCC4;0;1
ERCC5;1;1
ERCC6;1;1
ERCC6L2;0;1
ERCC8;1;1
ERF;0;1
ERLIN2;1;1
ERMARD;0;1
ESCO2;0;1
ESPN;0;1
ESRRB;0;1
ETFA;0;1
ETFB;0;1
ETFDH;0;1
ETHE1;0;1
EVC;0;1
EVC2;0;1
EXOSC3;0;1
EXPH5;0;1
EXT1;0;1
EXT2;0;1
EYA1;0;1
EYA4;0;1
EZH2;0;1
FAH;0;1
FAM111A;0;1
FAM126A;1;1
FAM134B;0;1
FAM161A;0;1
FAM20A;0;1
FAM20C;0;1
FAM58A;0;1
FANCA;1;1
FANCB;1;1
FANCC;1;1
FANCD2;0;1
FANCE;0;1
FANCF;0;1
FANCG;0;1
FANCI;0;1
FANCL;0;1
FANCM;0;1
FAR1;0;1
FASN;1;1
FAT4;0;1
FBN1;1;1
FBN2;0;1
FBP1;0;1
FBXL4;0;1
FBXO25;0;1
FBXW4;0;1
FEZF1;0;1
FGD1;1;1
FGF10;0;1
FGF3;0;1
FGF9;0;1
FGFR1;1;1
FGFR2;1;1
FGFR3;1;1
FH;1;1
FHL1;0;1
FIG4;0;1
FKBP14;0;1
FKRP;1;1
FKTN;1;1
FLG;0;1
FLJ90130;1;0
FLNA;1;1
FLNB;0;1
FLT4;0;1
FLVCR1;0;1
FLVCR2;0;1
FMN2;1;0
FMR1;1;1
FOLR1;1;1
FOXC1;0;1
FOXC2;0;1
FOXE1;0;1
FOXE3;0;1
FOXF1;0;1
FOXG1;0;1
FOXL2;0;1
FOXN1;0;1
FOXP1;1;1
FOXP2;1;1
FOXP3;0;1
FOXRED1;0;1
FRAS1;1;1
FRAXE;1;0
FREM1;0;1
FREM2;0;1
FRMD7;0;1
FRY;1;1
FTCD;0;1
FTL;0;1
FTO;1;1
FTSJ1;1;1
FUCA1;1;1
FYCO1;0;1
FZD6;0;1
G6PD;1;0
GAA;0;1
GABRA1;0;1
GABRB3;0;1
GAD1;0;1
GALC;0;1
GALE;1;1
GALK1;0;1
GALNS;0;1
GALT;1;1
GAMT;1;1
GATA2;0;1
GATA4;0;1
GATA6;0;1
GATAD2B;1;1
GATM;1;1
GBA;0;1
GBA2;0;1
GCDH;1;1
GCH1;1;1
GCSH;1;1
GDF1;0;1
GDF3;0;1
GDF5;0;1
GDF6;0;1
GDI1;1;1
GFAP;1;1
GFER;0;1
GFM1;0;1
GHR;0;1
GJA1;0;1
GJA3;0;1
GJA8;0;1
GJB2;0;1
GJB3;0;1
GJB6;0;1
GJC2;0;1
GK;1;1
GLB1;1;1
GLDC;1;1
GLE1;0;1
GLI2;0;1
GLI3;1;1
GLIS2;0;1
GLIS3;0;1
GLMN;0;1
GLUD1;0;1
GLUL;0;1
GM2A;1;1
GMPPA;1;1
GMPPB;1;1
GNAI3;0;1
GNAO1;0;1
GNAS;1;1
GNPAT;1;1
GNPTAB;0;1
GNPTG;0;1
GNS;1;1
GON4L;1;1
GPC3;1;1
GPC6;0;1
GPHN;1;0
GPI;1;0
GPR179;0;1
GPR56;0;1
GPSM2;0;1
GRHL2;0;1
GRHL3;0;1
GRIA1;1;0
GRIA3;1;1
GRIK2;1;1
GRIN1;1;1
GRIN2A;1;1
GRIN2B;1;1
GRM1;0;1
GRM6;0;1
GRXCR1;0;1
GSPT2;0;1
GSS;1;0
GTF2H5;0;1
GUCY2C;0;1
GUSB;1;1
HADH;0;1
HARS;0;1
HAX1;0;1
HCCS;1;1
HCFC1;1;1
HCN1;0;1
HDAC4;1;1
HDAC8;1;1
HEPACAM;1;0
HERC2;1;0
HESX1;1;1
HEXA;1;1
HEXB;1;1
HGF;0;1
HGSNAT;0;1
HIBCH;0;1
HINT1;0;1
HIST1H4B;1;1
HIST3H3;1;1
HIVEP2;1;0
HLCS;1;1
HMGCL;1;1
HMGCS2;0;1
HMX1;0;1
HNF1B;0;1
HNF4A;0;1
HNRNPU;0;1
HOXA1;0;1
HOXB1;0;1
HOXC13;0;1
HOXD13;0;1
HPD;1;1
HPGD;0;1
HPRT1;1;1
HPS1;0;1
HPSE2;0;1
HR;0;1
HRAS;1;1
HSD17B10;1;1
HSD17B4;0;1
HSF4;0;1
HSPD1;0;1
HSPG2;0;1
HUWE1;1;1
HYAL1;0;1
HYDIN;0;1
HYLS1;0;1
IDS;1;1
IDUA;1;1
IFIH1;0;1
IFITM5;0;1
IFT122;0;1
IFT140;0;1
IFT172;0;1
IFT43;0;1
IFT80;0;1
IGBP1;1;1
IGF1;1;1
IGF1R;0;1
IGF2;0;1
IGFBP7;0;1
IGHMBP2;0;1
IGSF1;0;1
IHH;0;1
IKBKG;1;1
IL11;0;1
IL1RAPL1;1;1
ILDR1;0;1
IMPAD1;0;1
INPP4A;1;1
INPP5E;1;1
INPPL1;0;1
IQSEC2;1;1
IRF6;0;1
IRX5;0;1
ISPD;0;1
ITCH;0;1
ITGA3;0;1
ITGA6;0;1
ITGA7;1;1
ITGA8;0;1
ITPR1;0;1
IVD;0;1
JAG1;1;1
JAGN1;0;1
JAK3;0;1
JAM3;0;1
KANK1;0;1
KANSL1;0;1
KARS;0;1
KAT6A;1;0
KAT6B;1;1
KBTBD13;0;1
KCNC3;0;1
KCNE1;0;1
KCNH1;0;1
KCNH5;0;1
KCNJ1;1;0
KCNJ10;0;1
KCNJ11;1;1
KCNK9;1;1
KCNMA1;0;1
KCNQ1;0;1
KCNQ2;0;1
KCNQ3;1;0
KCNT1;0;1
KCTD1;0;1
KCTD7;0;1
KDM5A;1;1
KDM5C;1;1
KDM6A;0;1
KDM6B;1;1
KIAA0226;0;1
KIAA1279;0;1
KIAA2022;1;1
KIF11;1;1
KIF1A;1;1
KIF22;0;1
KIF2A;0;1
KIF4A;1;1
KIF5C;1;1
KIF7;1;1
KIRREL3;1;1
KIT;0;1
KLF1;0;1
KLF8;0;1
KLHL40;0;1
KMT2A;0;1
KMT2D;0;1
KPTN;1;1
KRAS;1;1
KRIT1;0;1
KRT74;0;1
L1CAM;1;1
L2HGDH;1;1
LAMA1;1;1
LAMA2;1;1
LAMB1;0;1
LAMC3;0;1
LAMP2;1;1
LARGE;1;1
LARP7;1;1
LARS2;0;1
LBR;0;1
LDB3;0;1
LEFTY2;0;1
LEMD3;0;1
LEPRE1;0;1
LFNG;0;1
LHFPL5;0;1
LHX3;0;1
LHX4;0;1
LIG4;0;1
LIMK1;1;0
LINS;1;1
LIPN;0;1
LMBRD1;0;1
LMNA;0;1
LMX1B;0;1
LOXHD1;0;1
LRAT;0;1
LRBA;0;1
LRIG2;0;1
LRIT3;0;1
LRP1;1;0
LRP2;1;1
LRP4;0;1
LRP5;0;1
LRPAP1;0;1
LRPPRC;1;1
LRRC6;0;1
LRTOMT;0;1
LTBP2;0;1
LYST;0;1
MAB21L2;0;1
MAF;0;1
MAFB;0;1
MAGEL2;0;1
MAGT1;1;1
MAMLD1;0;1
MAN1B1;1;1
MAN2B1;1;1
MANBA;1;1
MAOA;1;1
MAP2K1;1;1
MAP2K2;1;1
MAP3K1;0;1
MAPK10;0;1
MARVELD2;0;1
MASP1;0;1
MAT1A;1;1
MATN3;0;1
MBD5;1;1
MC2R;0;1
MCCC1;1;1
MCCC2;1;1
MCEE;0;1
MCOLN1;1;1
MCPH1;1;1
MCS;1;0
MECP2;1;1
MED12;1;1
MED13L;1;1
MED17;1;1
MED23;1;1
MEF2C;1;1
MEGF10;0;1
MEGF8;0;1
MEOX1;0;1
MESP2;0;1
METTL23;1;0
MFRP;0;1
MFSD8;0;1
MGAT2;1;1
MGP;0;1
MIB1;1;0
MICU1;0;1
MID1;1;1
MID2;1;0
MIR17HG;0;1
MIR184;0;1
MIR96;0;1
MITF;0;1
MKKS;1;1
MKS1;0;1
MLC1;0;1
MLL2;1;0
MLYCD;1;1
MMAA;0;1
MMAB;0;1
MMACHC;0;1
MMADHC;0;1
MMP13;0;1
MMP14;0;1
MNX1;0;1
MOCS1;1;1
MOCS2;1;1
MOGS;1;1
MPDU1;1;1
